	artist	track	genre	time	days	date.peaked	week	rating	days_to_peak	rank
3852	Next	Wifey	Rock	4.03	2000-05-27	2000-09-09	13	19	105 days 00:00:00.000000000	32
3854	Sonique	It Feels So Good	Rock	3.48	2000-01-22	2000-04-22	13	11	91 days 00:00:00.000000000	40
3855	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	13	17	49 days 00:00:00.000000000	34
3856	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	13	29	49 days 00:00:00.000000000	22
3857	Everclear	Wonderful	Rock	4.3	2000-07-08	2000-09-30	13	11	84 days 00:00:00.000000000	40
3858	Ja Rule	Between Me And You	Rap	4.05	2000-09-16	2000-11-18	13	17	63 days 00:00:00.000000000	34
3859	Rimes, LeAnn	I Need You	Country	3.42	2000-05-27	2000-08-12	13	11	77 days 00:00:00.000000000	40
3860	Smash Mouth	Then The Morning Comes	Rock	3.04	1999-10-30	2000-01-29	13	12	91 days 00:00:00.000000000	39
3861	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	13	12	63 days 00:00:00.000000000	39
3862	Jagged Edge	Let's Get Married	Rock	4.23	2000-05-06	2000-07-29	13	11	84 days 00:00:00.000000000	40
3863	Filter	Take A Picture	Rock	4.23	1999-11-27	2000-02-05	13	15	70 days 00:00:00.000000000	36
3864	Martin, Ricky	She Bangs	Latin	4.02	2000-10-07	2000-12-02	13	43	56 days 00:00:00.000000000	8
3865	Mystikal	Shake Ya Ass	Rap	4.46	2000-08-12	2000-10-28	13	13	77 days 00:00:00.000000000	38
3866	BBMak	Back Here	Rock	3.35	2000-04-29	2000-07-29	13	18	91 days 00:00:00.000000000	33
3868	Third Eye Blind	Never Let You Go	Rock	3.57	2000-01-22	2000-04-01	13	16	70 days 00:00:00.000000000	35
3869	Red Hot Chili Peppers	Otherside	Rock	4.13	2000-02-12	2000-05-27	13	29	105 days 00:00:00.000000000	22
3871	Barenaked Ladies	Pinch Me	Rock	3.46	2000-09-09	2000-11-25	13	15	77 days 00:00:00.000000000	36
3872	Jagged Edge	He Can't Love U	Rock	3.3	1999-12-11	2000-01-08	13	26	28 days 00:00:00.000000000	25
3874	Sting	Desert Rose	Rock	3.52	2000-05-13	2000-08-26	13	19	105 days 00:00:00.000000000	32
3875	Jay-Z	Big Pimpin'	Rap	3.55	2000-04-22	2000-07-08	13	20	77 days 00:00:00.000000000	31
3876	Kid Rock	Only God Knows Why	Rock	5.27	2000-02-19	2000-04-15	13	25	56 days 00:00:00.000000000	26
3877	Foo Fighters	Learn To Fly	Rock	3.55	1999-10-16	2000-01-22	13	26	98 days 00:00:00.000000000	25
3880	Lil Bow Wow	Bounce With Me	Rap	3.22	2000-08-19	2000-09-16	13	40	28 days 00:00:00.000000000	11
3881	Westlife	Swear It Again	Rock	4.07	2000-04-01	2000-07-01	13	21	91 days 00:00:00.000000000	30
3882	Train	Meet Virginia	Rock	3.55	1999-10-09	2000-01-22	13	21	105 days 00:00:00.000000000	30
3883	Thomas, Carl	I Wish	Rock	3.5	2000-03-25	2000-05-13	13	23	49 days 00:00:00.000000000	28
3886	Ludacris	What's Your Fantasy	Rap	4.16	2000-09-30	2000-12-16	13	24	77 days 00:00:00.000000000	27
3889	SoulDecision	Faded	Rock	3.25	2000-07-08	2000-09-09	13	27	63 days 00:00:00.000000000	24
3890	Brock, Chad	Yes!	Country	3.22	2000-04-08	2000-07-01	13	22	84 days 00:00:00.000000000	29
3891	Martin, Ricky	Shake Your Bon-Bon	Latin	3.08	1999-11-20	2000-02-12	13	22	84 days 00:00:00.000000000	29
3892	Vertical Horizon	You're A God	Rock	3.45	2000-08-26	2000-11-04	13	25	70 days 00:00:00.000000000	26
3893	Avant	Separated	Rock	4.13	2000-04-29	2000-05-20	13	27	21 days 00:00:00.000000000	24
3894	Rimes, LeAnn	Big Deal	Country	3.03	1999-10-16	2000-01-01	13	30	77 days 00:00:00.000000000	21
3895	IMx	Stay The Night	Rap	3.37	1999-10-09	2000-01-08	13	36	91 days 00:00:00.000000000	15
3896	Dr. Dre	The Next Episode	Rap	2.38	2000-05-27	2000-07-29	13	32	63 days 00:00:00.000000000	19
3898	Savage Garden	Crash And Burn	Rock	4.41	2000-04-08	2000-05-27	13	46	49 days 00:00:00.000000000	5
3899	Kandi	Don't Think I'm Not	Rock	3.5	2000-08-05	2000-10-07	13	28	63 days 00:00:00.000000000	23
3900	Sammie	I Like It	Rock	4.09	2000-01-29	2000-04-15	13	36	77 days 00:00:00.000000000	15
3901	Goo Goo Dolls	Broadway	Rock	3.54	2000-04-22	2000-07-01	13	46	70 days 00:00:00.000000000	5
3903	Dr. Dre	Forgot About Dre	Rap	3.42	2000-01-22	2000-03-25	13	26	63 days 00:00:00.000000000	25
3905	Messina, Jo Dee	That's The Way	Country	3.17	2000-06-24	2000-08-26	13	30	63 days 00:00:00.000000000	21
3906	Avant	My First Love	Rock	4.28	2000-11-04	2000-12-16	13	38	42 days 00:00:00.000000000	13
3907	Son By Four	A Puro Dolor (Purest Of Pain)	Latin	3.3	2000-04-08	2000-08-19	13	48	133 days 00:00:00.000000000	3
3908	Da Brat	What'Chu Like	Rap	3.57	2000-06-03	2000-08-12	13	36	70 days 00:00:00.000000000	15
3909	DMX	Party Up (Up In Here)	Rap	3.45	2000-02-26	2000-04-22	13	27	56 days 00:00:00.000000000	24
3910	Dixie Chicks, The	Cowboy Take Me Away	Country	4.51	1999-11-27	2000-01-29	13	31	63 days 00:00:00.000000000	20
3911	McGraw, Tim	My Next Thirty Years	Country	3.37	2000-10-21	2000-12-16	13	33	56 days 00:00:00.000000000	18
3912	Tritt, Travis	Best Of Intentions	Country	4.15	2000-08-19	2000-12-02	13	28	105 days 00:00:00.000000000	23
3913	Alice Deejay	Better Off Alone	Electronica	6.5	2000-04-08	2000-06-03	13	39	56 days 00:00:00.000000000	12
3916	Counting Crows	Hanginaround	Rock	4.07	1999-11-06	2000-01-29	13	28	84 days 00:00:00.000000000	23
3917	Mary Mary	Shackles (Praise You)	Rock	3.12	2000-03-25	2000-05-13	13	43	49 days 00:00:00.000000000	8
3919	McGraw, Tim	My Best Friend	Country	4.33	1999-11-27	2000-01-29	13	32	63 days 00:00:00.000000000	19
3922	Jones, Donell	Where I Wanna Be	Rock	6.22	2000-04-22	2000-07-08	13	36	77 days 00:00:00.000000000	15
3924	Lonestar	What About Now	Country	3.3	2000-06-10	2000-08-19	13	35	70 days 00:00:00.000000000	16
3926	Keith, Toby	How Do You Like Me Now?!	Country	3.29	2000-01-29	2000-04-08	13	35	70 days 00:00:00.000000000	16
3927	Strait, George	The Best Day	Country	3.24	2000-01-29	2000-04-22	13	31	84 days 00:00:00.000000000	20
3928	Dixie Chicks, The	Without You	Country	3.32	2000-10-07	2000-12-23	13	33	77 days 00:00:00.000000000	18
3929	Musiq	Just Friends (Sunny)	Rap	4.02	2000-10-14	2000-12-30	13	35	77 days 00:00:00.000000000	16
3930	McEntire, Reba	What Do You Say	Country	3.26	1999-10-30	2000-01-29	13	33	91 days 00:00:00.000000000	18
3934	Bon Jovi	It's My Life	Rock	3.44	2000-08-12	2000-09-30	13	39	49 days 00:00:00.000000000	12
3935	Evans, Sara	Born To Fly	Country	5.36	2000-10-21	2000-12-30	13	44	70 days 00:00:00.000000000	7
3936	Chesney, Kenny	I Lost It	Country	3.54	2000-10-21	2000-12-23	13	42	63 days 00:00:00.000000000	9
3937	J-Shin	One Night Stand	R&B	4.34	1999-12-25	2000-02-26	13	47	63 days 00:00:00.000000000	4
3939	Aaliyah	I Don't Wanna	Rock	4.15	2000-01-29	2000-03-04	13	38	35 days 00:00:00.000000000	13
3940	Montgomery, John Michael	The Little Girl	Country	3.52	2000-09-09	2000-10-28	13	45	49 days 00:00:00.000000000	6
3942	Vassar, Phil	Just Another Day In Paradise	Country	3.54	2000-09-30	2000-12-02	13	46	63 days 00:00:00.000000000	5
3945	Lucy Pearl	Dance Tonight	R&B	3.45	2000-05-20	2000-07-29	13	46	70 days 00:00:00.000000000	5
3946	Jackson, Alan	It Must Be Love	Country	2.53	2000-06-24	2000-09-02	13	40	70 days 00:00:00.000000000	11
3947	Griggs, Andy	She's More	Country	3.19	2000-03-11	2000-06-10	13	42	91 days 00:00:00.000000000	9
3950	Rascal Flatts	Prayin' For Daylight	Country	3.36	2000-05-06	2000-08-12	13	46	98 days 00:00:00.000000000	5
3952	Gilman, Billy	One Voice	Country	4.07	2000-06-17	2000-09-02	13	40	77 days 00:00:00.000000000	11
3953	Lonestar	Smile	Country	3.33	1999-12-18	2000-02-12	13	43	56 days 00:00:00.000000000	8
3956	Strait, George	Go On	Country	3.48	2000-08-26	2000-10-28	13	49	63 days 00:00:00.000000000	2
3958	Baha Men	Who Let The Dogs Out	R&B	3.17	2000-07-22	2000-10-21	13	43	91 days 00:00:00.000000000	8
3964	Raye, Collin	Couldn't Last A Moment	Country	3.4	2000-03-18	2000-06-24	13	44	98 days 00:00:00.000000000	7
3976	Davidson, Clay	Unconditional	Country	3.56	2000-03-25	2000-06-17	13	49	84 days 00:00:00.000000000	2
3977	DMX	What You Want	Rap	4.05	2000-07-01	2000-09-23	13	49	84 days 00:00:00.000000000	2
4121	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	14	1	56 days 00:00:00.000000000	50
4122	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	14	1	56 days 00:00:00.000000000	50
4123	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	14	2	98 days 00:00:00.000000000	49
4124	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	14	2	35 days 00:00:00.000000000	49
4125	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	14	1	70 days 00:00:00.000000000	50
4126	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	14	2	70 days 00:00:00.000000000	49
4127	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	14	1	84 days 00:00:00.000000000	50
4128	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	14	1	84 days 00:00:00.000000000	50
4129	Sisqo	Incomplete	Rock	3.52	2000-06-24	2000-08-12	14	5	49 days 00:00:00.000000000	46
4130	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	14	32	273 days 00:00:00.000000000	19
4131	N'Sync	It's Gonna Be Me	Rock	3.1	2000-05-06	2000-07-29	14	1	84 days 00:00:00.000000000	50
4132	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	14	4	49 days 00:00:00.000000000	47
4133	Vertical Horizon	Everything You Want	Rock	4.01	2000-01-22	2000-07-15	14	9	175 days 00:00:00.000000000	42
4135	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	14	1	91 days 00:00:00.000000000	50
4136	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	14	2	84 days 00:00:00.000000000	49
4137	Carey, Mariah	Thank God I Found You	Rock	4.14	1999-12-11	2000-02-19	14	13	70 days 00:00:00.000000000	38
4138	Hill, Faith	Breathe	Rap	4.04	1999-11-06	2000-04-22	14	21	168 days 00:00:00.000000000	30
4139	Mya	Case Of The Ex (Whatcha Gonna Do)	Rock	3.5	2000-08-19	2000-12-02	14	9	105 days 00:00:00.000000000	42
4140	Dream	He Loves U Not	Rock	3.43	2000-09-30	2000-12-30	14	2	91 days 00:00:00.000000000	49
4141	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	14	12	49 days 00:00:00.000000000	39
4142	Anthony, Marc	You Sang To Me	Latin	3.5	2000-02-26	2000-06-03	14	5	98 days 00:00:00.000000000	46
4143	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	14	36	42 days 00:00:00.000000000	15
4144	Destiny's Child	Jumpin' Jumpin'	Rock	3.48	2000-05-13	2000-08-19	14	4	98 days 00:00:00.000000000	47
4145	3 Doors Down	Kryptonite	Rock	3.53	2000-04-08	2000-11-11	14	44	217 days 00:00:00.000000000	7
4146	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	14	4	112 days 00:00:00.000000000	47
4147	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	14	7	77 days 00:00:00.000000000	44
4148	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	14	6	126 days 00:00:00.000000000	45
4149	Joe	I Wanna Know	Rock	4.57	2000-01-01	2000-07-01	14	20	182 days 00:00:00.000000000	31
4150	Jordan, Montell	Get It On.. Tonite	Rap	4.34	1999-10-23	2000-02-12	14	15	112 days 00:00:00.000000000	36
4151	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	14	6	77 days 00:00:00.000000000	45
4152	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	14	30	49 days 00:00:00.000000000	21
4153	Pink	Most Girls	Rock	4.06	2000-08-12	2000-11-25	14	6	105 days 00:00:00.000000000	45
4154	Mumba, Samantha	Gotta Tell You	Rock	3.19	2000-09-09	2000-12-09	14	4	91 days 00:00:00.000000000	47
4155	Blaque	Bring It All To Me	Pop	3.46	1999-10-23	2000-01-22	14	5	91 days 00:00:00.000000000	46
4156	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	14	10	42 days 00:00:00.000000000	41
4157	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	14	5	91 days 00:00:00.000000000	46
4158	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	14	12	63 days 00:00:00.000000000	39
4159	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	14	12	63 days 00:00:00.000000000	39
4160	Backstreet Boys, The	Show Me The Meaning Of Being Lonely	Rock	3.54	2000-01-01	2000-03-18	14	6	77 days 00:00:00.000000000	45
4161	Nine Days	Absolutely (Story Of A Girl)	Rock	3.09	2000-05-06	2000-07-22	14	8	77 days 00:00:00.000000000	43
4162	Dion, Celine	That's The Way It Is	Rock	4.03	1999-11-13	2000-03-04	14	10	112 days 00:00:00.000000000	41
4163	Blink-182	All The Small Things	Rock	2.52	1999-12-04	2000-02-19	14	8	77 days 00:00:00.000000000	43
4164	Eiffel 65	Blue (Da Ba Dee)	Electronica	3.29	1999-12-11	2000-01-29	14	24	49 days 00:00:00.000000000	27
4165	Badu, Erkyah	Bag Lady	Rock	5.03	2000-08-19	2000-10-07	14	21	49 days 00:00:00.000000000	30
4166	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	14	16	35 days 00:00:00.000000000	35
4168	Nelly	(Hot S**t) Country Grammar	Rap	4.17	2000-04-29	2000-09-16	14	21	140 days 00:00:00.000000000	30
4169	Next	Wifey	Rock	4.03	2000-05-27	2000-09-09	14	19	105 days 00:00:00.000000000	32
4171	Sonique	It Feels So Good	Rock	3.48	2000-01-22	2000-04-22	14	8	91 days 00:00:00.000000000	43
4172	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	14	24	49 days 00:00:00.000000000	27
4173	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	14	26	49 days 00:00:00.000000000	25
4174	Everclear	Wonderful	Rock	4.3	2000-07-08	2000-09-30	14	13	84 days 00:00:00.000000000	38
4175	Ja Rule	Between Me And You	Rap	4.05	2000-09-16	2000-11-18	14	18	63 days 00:00:00.000000000	33
4176	Rimes, LeAnn	I Need You	Country	3.42	2000-05-27	2000-08-12	14	15	77 days 00:00:00.000000000	36
4177	Smash Mouth	Then The Morning Comes	Rock	3.04	1999-10-30	2000-01-29	14	11	91 days 00:00:00.000000000	40
4178	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	14	15	63 days 00:00:00.000000000	36
4179	Jagged Edge	Let's Get Married	Rock	4.23	2000-05-06	2000-07-29	14	14	84 days 00:00:00.000000000	37
4180	Filter	Take A Picture	Rock	4.23	1999-11-27	2000-02-05	14	20	70 days 00:00:00.000000000	31
4182	Mystikal	Shake Ya Ass	Rap	4.46	2000-08-12	2000-10-28	14	13	77 days 00:00:00.000000000	38
4183	BBMak	Back Here	Rock	3.35	2000-04-29	2000-07-29	14	13	91 days 00:00:00.000000000	38
4185	Third Eye Blind	Never Let You Go	Rock	3.57	2000-01-22	2000-04-01	14	17	70 days 00:00:00.000000000	34
4186	Red Hot Chili Peppers	Otherside	Rock	4.13	2000-02-12	2000-05-27	14	24	105 days 00:00:00.000000000	27
4188	Barenaked Ladies	Pinch Me	Rock	3.46	2000-09-09	2000-11-25	14	19	77 days 00:00:00.000000000	32
4189	Jagged Edge	He Can't Love U	Rock	3.3	1999-12-11	2000-01-08	14	33	28 days 00:00:00.000000000	18
4191	Sting	Desert Rose	Rock	3.52	2000-05-13	2000-08-26	14	19	105 days 00:00:00.000000000	32
4192	Jay-Z	Big Pimpin'	Rap	3.55	2000-04-22	2000-07-08	14	20	77 days 00:00:00.000000000	31
4193	Kid Rock	Only God Knows Why	Rock	5.27	2000-02-19	2000-04-15	14	29	56 days 00:00:00.000000000	22
4194	Foo Fighters	Learn To Fly	Rock	3.55	1999-10-16	2000-01-22	14	20	98 days 00:00:00.000000000	31
4198	Westlife	Swear It Again	Rock	4.07	2000-04-01	2000-07-01	14	20	91 days 00:00:00.000000000	31
4199	Train	Meet Virginia	Rock	3.55	1999-10-09	2000-01-22	14	24	105 days 00:00:00.000000000	27
4200	Thomas, Carl	I Wish	Rock	3.5	2000-03-25	2000-05-13	14	24	49 days 00:00:00.000000000	27
4203	Ludacris	What's Your Fantasy	Rap	4.16	2000-09-30	2000-12-16	14	24	77 days 00:00:00.000000000	27
4206	SoulDecision	Faded	Rock	3.25	2000-07-08	2000-09-09	14	27	63 days 00:00:00.000000000	24
4207	Brock, Chad	Yes!	Country	3.22	2000-04-08	2000-07-01	14	27	84 days 00:00:00.000000000	24
4208	Martin, Ricky	Shake Your Bon-Bon	Latin	3.08	1999-11-20	2000-02-12	14	33	84 days 00:00:00.000000000	18
4209	Vertical Horizon	You're A God	Rock	3.45	2000-08-26	2000-11-04	14	32	70 days 00:00:00.000000000	19
4210	Avant	Separated	Rock	4.13	2000-04-29	2000-05-20	14	29	21 days 00:00:00.000000000	22
4211	Rimes, LeAnn	Big Deal	Country	3.03	1999-10-16	2000-01-01	14	28	77 days 00:00:00.000000000	23
4212	IMx	Stay The Night	Rap	3.37	1999-10-09	2000-01-08	14	23	91 days 00:00:00.000000000	28
4213	Dr. Dre	The Next Episode	Rap	2.38	2000-05-27	2000-07-29	14	32	63 days 00:00:00.000000000	19
4215	Savage Garden	Crash And Burn	Rock	4.41	2000-04-08	2000-05-27	14	47	49 days 00:00:00.000000000	4
4216	Kandi	Don't Think I'm Not	Rock	3.5	2000-08-05	2000-10-07	14	29	63 days 00:00:00.000000000	22
4217	Sammie	I Like It	Rock	4.09	2000-01-29	2000-04-15	14	46	77 days 00:00:00.000000000	5
4218	Goo Goo Dolls	Broadway	Rock	3.54	2000-04-22	2000-07-01	14	48	70 days 00:00:00.000000000	3
4220	Dr. Dre	Forgot About Dre	Rap	3.42	2000-01-22	2000-03-25	14	28	63 days 00:00:00.000000000	23
4222	Messina, Jo Dee	That's The Way	Country	3.17	2000-06-24	2000-08-26	14	28	63 days 00:00:00.000000000	23
4223	Avant	My First Love	Rock	4.28	2000-11-04	2000-12-16	14	38	42 days 00:00:00.000000000	13
4224	Son By Four	A Puro Dolor (Purest Of Pain)	Latin	3.3	2000-04-08	2000-08-19	14	43	133 days 00:00:00.000000000	8
4225	Da Brat	What'Chu Like	Rap	3.57	2000-06-03	2000-08-12	14	39	70 days 00:00:00.000000000	12
4226	DMX	Party Up (Up In Here)	Rap	3.45	2000-02-26	2000-04-22	14	28	56 days 00:00:00.000000000	23
4227	Dixie Chicks, The	Cowboy Take Me Away	Country	4.51	1999-11-27	2000-01-29	14	37	63 days 00:00:00.000000000	14
4228	McGraw, Tim	My Next Thirty Years	Country	3.37	2000-10-21	2000-12-16	14	33	56 days 00:00:00.000000000	18
4229	Tritt, Travis	Best Of Intentions	Country	4.15	2000-08-19	2000-12-02	14	28	105 days 00:00:00.000000000	23
4230	Alice Deejay	Better Off Alone	Electronica	6.5	2000-04-08	2000-06-03	14	49	56 days 00:00:00.000000000	2
4233	Counting Crows	Hanginaround	Rock	4.07	1999-11-06	2000-01-29	14	32	84 days 00:00:00.000000000	19
4236	McGraw, Tim	My Best Friend	Country	4.33	1999-11-27	2000-01-29	14	31	63 days 00:00:00.000000000	20
4239	Jones, Donell	Where I Wanna Be	Rock	6.22	2000-04-22	2000-07-08	14	34	77 days 00:00:00.000000000	17
4241	Lonestar	What About Now	Country	3.3	2000-06-10	2000-08-19	14	36	70 days 00:00:00.000000000	15
4243	Keith, Toby	How Do You Like Me Now?!	Country	3.29	2000-01-29	2000-04-08	14	35	70 days 00:00:00.000000000	16
4244	Strait, George	The Best Day	Country	3.24	2000-01-29	2000-04-22	14	33	84 days 00:00:00.000000000	18
4245	Dixie Chicks, The	Without You	Country	3.32	2000-10-07	2000-12-23	14	44	77 days 00:00:00.000000000	7
4246	Musiq	Just Friends (Sunny)	Rap	4.02	2000-10-14	2000-12-30	14	34	77 days 00:00:00.000000000	17
4247	McEntire, Reba	What Do You Say	Country	3.26	1999-10-30	2000-01-29	14	31	91 days 00:00:00.000000000	20
4251	Bon Jovi	It's My Life	Rock	3.44	2000-08-12	2000-09-30	14	44	49 days 00:00:00.000000000	7
4252	Evans, Sara	Born To Fly	Country	5.36	2000-10-21	2000-12-30	14	36	70 days 00:00:00.000000000	15
4253	Chesney, Kenny	I Lost It	Country	3.54	2000-10-21	2000-12-23	14	45	63 days 00:00:00.000000000	6
4256	Aaliyah	I Don't Wanna	Rock	4.15	2000-01-29	2000-03-04	14	49	35 days 00:00:00.000000000	2
4263	Jackson, Alan	It Must Be Love	Country	2.53	2000-06-24	2000-09-02	14	47	70 days 00:00:00.000000000	4
4264	Griggs, Andy	She's More	Country	3.19	2000-03-11	2000-06-10	14	37	91 days 00:00:00.000000000	14
4267	Rascal Flatts	Prayin' For Daylight	Country	3.36	2000-05-06	2000-08-12	14	41	98 days 00:00:00.000000000	10
4269	Gilman, Billy	One Voice	Country	4.07	2000-06-17	2000-09-02	14	44	77 days 00:00:00.000000000	7
4270	Lonestar	Smile	Country	3.33	1999-12-18	2000-02-12	14	45	56 days 00:00:00.000000000	6
4275	Baha Men	Who Let The Dogs Out	R&B	3.17	2000-07-22	2000-10-21	14	40	91 days 00:00:00.000000000	11
4281	Raye, Collin	Couldn't Last A Moment	Country	3.4	2000-03-18	2000-06-24	14	44	98 days 00:00:00.000000000	7
4438	Destiny's Child	Independent Women Part I	Rock	3.38	2000-09-23	2000-11-18	15	1	56 days 00:00:00.000000000	50
4439	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	15	1	56 days 00:00:00.000000000	50
4440	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	15	1	98 days 00:00:00.000000000	50
4441	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	15	4	35 days 00:00:00.000000000	47
4442	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	15	4	70 days 00:00:00.000000000	47
4443	Janet	Doesn't Really Matter	Rock	4.17	2000-06-17	2000-08-26	15	2	70 days 00:00:00.000000000	49
4444	Destiny's Child	Say My Name	Rock	4.31	1999-12-25	2000-03-18	15	1	84 days 00:00:00.000000000	50
4445	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	15	1	84 days 00:00:00.000000000	50
4446	Sisqo	Incomplete	Rock	3.52	2000-06-24	2000-08-12	15	7	49 days 00:00:00.000000000	44
4447	Lonestar	Amazed	Country	4.25	1999-06-05	2000-03-04	15	33	273 days 00:00:00.000000000	18
4448	N'Sync	It's Gonna Be Me	Rock	3.1	2000-05-06	2000-07-29	15	3	84 days 00:00:00.000000000	48
4449	Aguilera, Christina	What A Girl Wants	Rock	3.18	1999-11-27	2000-01-15	15	12	49 days 00:00:00.000000000	39
4450	Vertical Horizon	Everything You Want	Rock	4.01	2000-01-22	2000-07-15	15	9	175 days 00:00:00.000000000	42
4452	Aaliyah	Try Again	Rock	4.03	2000-03-18	2000-06-17	15	2	91 days 00:00:00.000000000	49
4453	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	15	3	84 days 00:00:00.000000000	48
4454	Carey, Mariah	Thank God I Found You	Rock	4.14	1999-12-11	2000-02-19	15	21	70 days 00:00:00.000000000	30
4455	Hill, Faith	Breathe	Rap	4.04	1999-11-06	2000-04-22	15	21	168 days 00:00:00.000000000	30
4456	Mya	Case Of The Ex (Whatcha Gonna Do)	Rock	3.5	2000-08-19	2000-12-02	15	7	105 days 00:00:00.000000000	44
4457	Dream	He Loves U Not	Rock	3.43	2000-09-30	2000-12-30	15	2	91 days 00:00:00.000000000	49
4458	Braxton, Toni	He Wasn't Man Enough	Rock	4.21	2000-03-18	2000-05-06	15	16	49 days 00:00:00.000000000	35
4459	Anthony, Marc	You Sang To Me	Latin	3.5	2000-02-26	2000-06-03	15	2	98 days 00:00:00.000000000	49
4460	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	15	47	42 days 00:00:00.000000000	4
4461	Destiny's Child	Jumpin' Jumpin'	Rock	3.48	2000-05-13	2000-08-19	15	3	98 days 00:00:00.000000000	48
4462	3 Doors Down	Kryptonite	Rock	3.53	2000-04-08	2000-11-11	15	38	217 days 00:00:00.000000000	13
4463	Sisqo	Thong Song	Rock	4.05	2000-01-29	2000-05-20	15	4	112 days 00:00:00.000000000	47
4464	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	15	10	77 days 00:00:00.000000000	41
4465	Houston, Whitney	My Love Is Your Love	Rock	4.16	1999-09-04	2000-01-08	15	5	126 days 00:00:00.000000000	46
4466	Joe	I Wanna Know	Rock	4.57	2000-01-01	2000-07-01	15	17	182 days 00:00:00.000000000	34
4467	Jordan, Montell	Get It On.. Tonite	Rap	4.34	1999-10-23	2000-02-12	15	15	112 days 00:00:00.000000000	36
4468	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	15	6	77 days 00:00:00.000000000	45
4469	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	15	49	49 days 00:00:00.000000000	2
4470	Pink	Most Girls	Rock	4.06	2000-08-12	2000-11-25	15	5	105 days 00:00:00.000000000	46
4471	Mumba, Samantha	Gotta Tell You	Rock	3.19	2000-09-09	2000-12-09	15	6	91 days 00:00:00.000000000	45
4472	Blaque	Bring It All To Me	Pop	3.46	1999-10-23	2000-01-22	15	5	91 days 00:00:00.000000000	46
4473	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	15	11	42 days 00:00:00.000000000	40
4474	Gray, Macy	I Try	Rock	3.52	2000-02-19	2000-05-20	15	6	91 days 00:00:00.000000000	45
4475	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	15	11	63 days 00:00:00.000000000	40
4476	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	15	14	63 days 00:00:00.000000000	37
4477	Backstreet Boys, The	Show Me The Meaning Of Being Lonely	Rock	3.54	2000-01-01	2000-03-18	15	8	77 days 00:00:00.000000000	43
4478	Nine Days	Absolutely (Story Of A Girl)	Rock	3.09	2000-05-06	2000-07-22	15	8	77 days 00:00:00.000000000	43
